action,blood glucose,reward,meal,risk,time
[[0.]],600.0,-240.0,0.0,106.17484311364593,17:48
[[0.]],600.0,-240.0,0.0,106.30706298716355,17:51
[[0.]],600.0,-240.0,0.0,106.4189877733736,17:54
[[0.]],600.0,-240.0,0.0,106.5115069744007,17:57
[[0.]],600.0,-240.0,0.0,106.58550329182931,18:00
[[0.]],600.0,-240.0,0.0,106.64184664970759,18:03
[[0.]],600.0,-240.0,0.0,106.68138943554099,18:06
[[0.]],600.0,-240.0,0.0,106.70496277340297,18:09
[[0.]],600.0,-240.0,0.0,106.7133736683469,18:12
[[0.]],600.0,-240.0,0.0,106.70740288345135,18:15
[[0.]],600.0,-240.0,0.0,106.687803430284,18:18
[[0.]],600.0,-240.0,0.0,106.65529957055426,18:21
[[0.]],600.0,-240.0,0.0,106.61058624149639,18:24
[[0.]],600.0,-240.0,0.0,106.55432883032867,18:27
[[0.]],600.0,-240.0,0.0,106.48716323420305,18:30
[[0.]],600.0,-240.0,0.0,106.40969615160556,18:33
[[0.]],600.0,-240.0,0.0,106.32250555938874,18:36
[[0.]],600.0,-240.0,0.0,106.22614133668195,18:39
[[0.]],600.0,-240.0,0.0,106.12112600298808,18:42
[[0.]],600.0,-240.0,0.0,106.00795554297697,18:45
[[0.]],600.0,-240.0,0.0,105.88710029492867,18:48
[[0.]],600.0,-240.0,0.0,105.75900588358955,18:51
[[0.]],600.0,-240.0,0.0,105.62409418144883,18:54
[[0.]],600.0,-240.0,0.0,105.48276428520985,18:57
[[0.]],600.0,-240.0,0.0,105.3353934965933,19:00
[[0.]],600.0,-240.0,0.0,105.18233829860462,19:03
[[0.]],600.0,-240.0,0.0,105.0239353201063,19:06
[[0.]],600.0,-240.0,0.0,104.86050228296736,19:09
[[0.]],600.0,-240.0,0.0,104.69233892728242,19:12
[[0.]],600.0,-240.0,0.0,104.5197279111761,19:15
[[0.]],600.0,-240.0,0.0,104.34293568256865,19:18
[[0.]],600.0,-240.0,0.0,104.16221332100139,19:21
[[0.]],600.0,-240.0,0.0,103.97779734821724,19:24
